ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Revenue USD,Profit USD
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,6.62,12.99,101,MP4&MP3,1,Audio,12.99,6.37
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,6.62,12.99,101,MP4&MP3,1,Audio,25.98,12.74
3,Contoso 1G MP3 Player E100 White,Contoso,White,7.4,14.52,101,MP4&MP3,1,Audio,14.52,7.119999999999999
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11.0,21.57,101,MP4&MP3,1,Audio,150.99,73.99000000000001
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,11.0,21.57,101,MP4&MP3,1,Audio,21.57,10.57
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,11.0,21.57,101,MP4&MP3,1,Audio,86.28,42.28
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,11.0,21.57,101,MP4&MP3,1,Audio,129.42000000000002,63.420000000000016
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,30.58,59.99,101,MP4&MP3,1,Audio,119.98,58.82000000000001
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.58,59.99,101,MP4&MP3,1,Audio,239.96,117.64000000000001
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,30.58,59.99,101,MP4&MP3,1,Audio,59.99,29.410000000000004
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,30.58,59.99,101,MP4&MP3,1,Audio,299.95,147.05
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,35.72,77.68,101,MP4&MP3,1,Audio,699.1200000000001,377.6400000000001
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,35.72,77.68,101,MP4&MP3,1,Audio,77.68,41.96000000000001
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,35.72,77.68,101,MP4&MP3,1,Audio,388.40000000000003,209.80000000000004
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,35.72,77.68,101,MP4&MP3,1,Audio,77.68,41.96000000000001
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,50.56,109.95,101,MP4&MP3,1,Audio,549.75,296.95
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,50.56,109.95,101,MP4&MP3,1,Audio,769.65,415.72999999999996
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,50.56,109.95,101,MP4&MP3,1,Audio,109.95,59.39
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,50.56,109.95,101,MP4&MP3,1,Audio,109.95,59.39
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,61.62,134.0,101,MP4&MP3,1,Audio,402.0,217.14000000000001
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,61.62,134.0,101,MP4&MP3,1,Audio,134.0,72.38
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,61.62,134.0,101,MP4&MP3,1,Audio,536.0,289.52
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,134.0,101,MP4&MP3,1,Audio,134.0,72.38
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,MP4&MP3,1,Audio,999.5,539.8499999999999
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,91.93,199.9,101,MP4&MP3,1,Audio,199.9,107.97
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,91.93,199.9,101,MP4&MP3,1,Audio,399.8,215.94
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,91.93,199.9,101,MP4&MP3,1,Audio,1399.3,755.79
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,91.93,199.9,101,MP4&MP3,1,Audio,199.9,107.97
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,84.49,255.0,101,MP4&MP3,1,Audio,510.0,341.02
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,84.49,255.0,101,MP4&MP3,1,Audio,255.0,170.51
31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Orange,84.49,255.0,101,MP4&MP3,1,Audio,1020.0,682.04
32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,84.49,255.0,101,MP4&MP3,1,Audio,255.0,170.51
33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,84.49,255.0,101,MP4&MP3,1,Audio,510.0,341.02
34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Black,48.92,95.95,101,MP4&MP3,1,Audio,767.6,376.24
35,Contoso 4GB Portable MP3 Player M450 White,Contoso,White,48.92,95.95,101,MP4&MP3,1,Audio,863.5500000000001,423.27000000000004
36,Contoso 4GB Portable MP3 Player M450 Yellow,Contoso,Yellow,48.92,95.95,101,MP4&MP3,1,Audio,191.9,94.06
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,Silver,99.14,299.23,101,MP4&MP3,1,Audio,2094.61,1400.63
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Black,99.14,299.23,101,MP4&MP3,1,Audio,299.23,200.09000000000003
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,897.69,600.27
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Contoso,Blue,99.14,299.23,101,MP4&MP3,1,Audio,2094.61,1400.63
41,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Silver,106.69,232.0,101,MP4&MP3,1,Audio,2088.0,1127.79
42,Contoso 16GB New Generation MP5 Player M1650 White,Contoso,White,106.69,232.0,101,MP4&MP3,1,Audio,696.0,375.93
43,Contoso 16GB New Generation MP5 Player M1650 Black,Contoso,Black,106.69,232.0,101,MP4&MP3,1,Audio,232.0,125.31
44,Contoso 16GB New Generation MP5 Player M1650 blue,Contoso,Blue,106.69,232.0,101,MP4&MP3,1,Audio,1856.0,1002.48
45,Contoso 16GB New Generation MP5 Player M1650 Pink,Contoso,Pink,106.69,232.0,101,MP4&MP3,1,Audio,1160.0,626.55
46,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,White,76.45,149.95,104,Recording Pen,1,Audio,449.84999999999997,220.49999999999994
47,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Black,76.45,149.95,104,Recording Pen,1,Audio,749.75,367.5
48,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Silver,76.45,149.95,104,Recording Pen,1,Audio,149.95,73.49999999999999
49,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,White,91.95,199.95,104,Recording Pen,1,Audio,199.95,107.99999999999999
50,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Black,91.95,199.95,104,Recording Pen,1,Audio,199.95,107.99999999999999
51,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Blue,91.95,199.95,104,Recording Pen,1,Audio,999.75,540.0
52,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Silver,91.95,199.95,104,Recording Pen,1,Audio,599.8499999999999,323.9999999999999
53,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio,592.0,395.86
54,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.07,296.0,104,Recording Pen,1,Audio,1776.0,1187.58
55,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Pink,98.07,296.0,104,Recording Pen,1,Audio,888.0,593.79
56,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Yellow,98.07,296.0,104,Recording Pen,1,Audio,2072.0,1385.51
57,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Black,79.53,156.0,104,Recording Pen,1,Audio,156.0,76.47
58,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Red,79.53,156.0,104,Recording Pen,1,Audio,1092.0,535.29
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,Pink,79.53,156.0,104,Recording Pen,1,Audio,468.0,229.41
60,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,White,79.53,156.0,104,Recording Pen,1,Audio,624.0,305.88
61,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Black,83.24,181.0,104,Recording Pen,1,Audio,362.0,195.52
62,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,White,83.24,181.0,104,Recording Pen,1,Audio,724.0,391.04
63,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Blue,83.24,181.0,104,Recording Pen,1,Audio,724.0,391.04
64,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Silver,83.24,181.0,104,Recording Pen,1,Audio,362.0,195.52
65,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,83.24,181.0,104,Recording Pen,1,Audio,1267.0,684.32
66,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Blue,13.1,25.69,106,Bluetooth Headphones,1,Audio,179.83,88.13000000000001
67,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Black,13.1,25.69,106,Bluetooth Headphones,1,Audio,154.14000000000001,75.54000000000002
68,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Yellow,13.1,25.69,106,Bluetooth Headphones,1,Audio,25.69,12.590000000000002
69,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Pink,13.1,25.69,106,Bluetooth Headphones,1,Audio,102.76,50.36000000000001
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Silver,22.05,47.95,106,Bluetooth Headphones,1,Audio,287.70000000000005,155.40000000000003
71,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Black,22.05,47.95,106,Bluetooth Headphones,1,Audio,95.9,51.800000000000004
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Blue,22.05,47.95,106,Bluetooth Headphones,1,Audio,47.95,25.900000000000002
73,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,White,22.05,47.95,106,Bluetooth Headphones,1,Audio,335.65000000000003,181.30000000000004
74,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Black,17.45,37.95,106,Bluetooth Headphones,1,Audio,113.85000000000001,61.500000000000014
75,NT Bluetooth Active Headphones E202 White,Northwind Traders,White,17.45,37.95,106,Bluetooth Headphones,1,Audio,227.70000000000002,123.00000000000003
76,NT Bluetooth Active Headphones E202 Red,Northwind Traders,Red,17.45,37.95,106,Bluetooth Headphones,1,Audio,189.75,102.5
77,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Silver,17.45,37.95,106,Bluetooth Headphones,1,Audio,75.9,41.00000000000001
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,324.4,175.2
79,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,White,18.65,40.55,106,Bluetooth Headphones,1,Audio,202.75,109.5
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Yellow,18.65,40.55,106,Bluetooth Headphones,1,Audio,40.55,21.9
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Black,18.65,40.55,106,Bluetooth Headphones,1,Audio,81.1,43.8
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Pink,18.65,40.55,106,Bluetooth Headphones,1,Audio,121.64999999999999,65.69999999999999
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Silver,45.98,99.99,106,Bluetooth Headphones,1,Audio,199.98,108.02
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Red,45.98,99.99,106,Bluetooth Headphones,1,Audio,99.99,54.01
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Green,45.98,99.99,106,Bluetooth Headphones,1,Audio,299.96999999999997,162.02999999999997
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Black,45.98,99.99,106,Bluetooth Headphones,1,Audio,99.99,54.01
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Purple,45.98,99.99,106,Bluetooth Headphones,1,Audio,199.98,108.02
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,49.69,149.99,106,Bluetooth Headphones,1,Audio,149.99,100.30000000000001
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Blue,49.69,149.99,106,Bluetooth Headphones,1,Audio,449.97,300.90000000000003
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Silver,49.69,149.99,106,Bluetooth Headphones,1,Audio,149.99,100.30000000000001
